vertex_index,x,y,z,nx,ny,nz
364,-3.124250,2.536980,4.441120,0.593692,0.794929,-0.124969
365,-3.012060,2.612130,4.451630,0.507094,-0.672763,-0.538745
366,-3.015320,2.618160,4.467470,0.196447,-0.097473,0.975657
367,-3.024970,2.617830,4.456210,-0.975369,-0.173140,-0.136663
368,-0.035246,0.756517,4.704830,0.708218,0.126591,-0.694551
369,-0.041213,0.761552,4.717560,0.197101,0.758092,0.621649
370,-0.044322,0.747037,4.719260,-0.134111,-0.752834,0.644402
371,-0.734848,0.812814,4.678610,-0.057957,0.214239,0.975060
372,-0.726687,0.807350,4.667780,0.921928,-0.385562,-0.037277
373,-0.734166,0.816349,4.659010,0.005222,0.541660,-0.840581
374,-2.542880,2.623400,4.479690,0.165045,0.010578,0.986229
375,-2.543380,2.632770,4.467280,0.114518,0.956810,-0.267208
376,-2.552890,2.620240,4.467960,-0.917413,-0.334641,-0.215334
377,-2.537980,2.616500,4.464530,0.601540,-0.625594,-0.496772
378,-1.764470,1.352500,4.556110,-0.595610,0.797808,-0.093549
379,-1.246890,-0.021317,4.563790,-0.847860,0.393390,0.355496
380,-1.230840,-0.020907,4.563790,0.829150,0.433410,0.353080
381,-1.238860,-0.023536,4.550130,-0.005507,0.147671,-0.989021
382,-1.764520,0.250620,4.582590,-0.528013,0.848179,0.042362
383,-1.764310,0.236563,4.580010,-0.418042,-0.871956,-0.254820
384,-1.758150,0.242827,4.592740,0.225287,-0.137029,0.964608
385,-1.032390,0.620261,4.629370,-0.450151,-0.243414,0.859136
386,-1.027460,0.630936,4.620870,0.009959,0.995579,0.093394
387,-1.029910,0.622090,4.609640,-0.220035,-0.073667,-0.972706
388,-3.049240,-0.025562,4.472910,0.991414,0.123194,-0.043841
389,-1.346360,0.243387,4.596770,-0.268024,-0.229723,-0.935623
390,-1.497990,0.239276,4.601140,0.237829,-0.354782,-0.904194
391,-1.461060,0.242364,4.587900,-0.046750,0.010498,-0.998851
